"HU_ID","Title","Iteration Path","Modulo Balu","Tester"
"189052","HU_08_GAL_MODIFICACIÓN_ESPACIO_DE_TRABAJO_FUNCIONARIO","368 - GAL","Afiliación y Novedades",""
"198452","83504_HU002_Gestión_Comercial_Consulta","368 - GAL","Afiliación y Novedades",""
"200931","83504_HU004_Gestion_Comercial_Radicación_Servicio_Domestico","368 - GAL","Afiliación y Novedades",""
"203351","HU_29_GAL_Almacenamiento y gestión de novedades de pila con actualización de estado por afiliaciones","368 - GAL","Recaudo y Cartera",""
"211832","HU_18_GAL_NUEVA_AFILIACIÓN_EMPLEADOR_LOGUEADO","368 - GAL","Afiliación y Novedades",""
"213235","HU_19_GAL_NUEVA_AFILIACIÓN_INDEPENDIENTE_LOGUEADO","368 - GAL","Afiliación y Novedades",""
"213595","307799_HU007 (CC5)_Adicionar información de Descuentos en formulario individual PILA","368 - GAL\Sprint 32","Recaudo y Cartera",""
"218064","314172_HU004_Gal_identificación_aportantes_y_cotizantes_pila","368 - GAL\Sprint 25","Afiliación y Novedades","Julian Mateo Castellanos Cuervo <julian.castellanos@linktic.com>"
"218539","307827_HU013_Agregar Número de Recibo en Vistas de Validación","368 - GAL\Sprint 23","Recaudo y Cartera","Juan Sebastián González Rivera <sebastian.gonzalez@linktic.com>"
"219370","307862_HU008_Reporte Consolidado de Autodescuentos","368 - GAL\Sprint 28","Recaudo y Cartera","Julian Mateo Castellanos Cuervo <julian.castellanos@linktic.com>"
"222060","314172_HU006_creación_de_novedades_permanentes_pila","368 - GAL\Sprint 25","Afiliación y Novedades","Julian Mateo Castellanos Cuervo <julian.castellanos@linktic.com>"
"222582","314172_HU008_novedades_pila_variación_permanente_de_salario","368 - GAL","Afiliación y Novedades",""
"222589","314172_HU009_gestión_de_novedades_pila_variación_de_centro_de_trabajo","368 - GAL","Afiliación y Novedades",""
"225952","HU_24_GAL_Visualizacion de novedades en recaudo","368 - GAL","Recaudo y Cartera",""
"233390","308714_HU003_Visualización Marcación de siniestros para recobro por mora (Front)","368 - GAL\Sprint 34","Recaudo y Cartera",""
"234504","307852_HU005_Visualizar alerta tras la autenticación de aportantes en mora","368 - GAL\Sprint 26","Recaudo y Cartera","Julian Mateo Castellanos Cuervo <julian.castellanos@linktic.com>"
"235395","HU_19_GAL_Visualizar Conciliación entre pagos LOG Bancario y datos financieros de la ARL (Front)","368 - GAL\Sprint 34","Recaudo y Cartera",""
"235408","307822_HU001_Priorización procesos automáticos en RyC","368 - GAL\Sprint 30","Recaudo y Cartera","Juan Sebastián González Rivera <sebastian.gonzalez@linktic.com>"
"235416","HU_21_GAL_Marcación de aportantes morosos reportados al SAT","368 - GAL","Recaudo y Cartera",""
"236543","314185_HU001(CC1)_Gal_modificación_reportes_empleador","368 - GAL\Sprint 32","Afiliación y Novedades","Andres Felipe Moreno Cruz <andres.moreno@linktic.com>"
"236576","314172_HU011_gestión_de_novedades_pila_variación_de_centro_de_trabajo_por_parte_del_funcionario","368 - GAL","Afiliación y Novedades",""
"241200","307852_HU006_Registro del estado de envío de notificaciones por correo a aportantes morosos","368 - GAL\Sprint 28","Recaudo y Cartera","Johan Estiven Rivas Echeverry <johan.rivas@linktic.com>"
"243601","HU_37_GAL_Actualizar reporte consolidado de cartera según etapa y estado del proceso","368 - GAL\Sprint 26","Recaudo y Cartera","Johan Estiven Rivas Echeverry <johan.rivas@linktic.com>"
"245920","HU_38_GAL_Validación y aplicación automatizada de la novedad Suspensión Temporal del Contrato, licencia no remunerada o comisión (SLN)","368 - GAL\Sprint 32","Recaudo y Cartera",""
"250651","HU_42_GAL_Procesar y validar la novedad IGE (Incapacidad Temporal por Enfermedad General) desde la planilla PILA.","368 - GAL","Recaudo y Cartera",""
"255746","307037_HU002(CC1)_Modificación_Plantilla_Autorización_PTI","368 - GAL\Sprint 28","Afiliación y Novedades","Andres Felipe Moreno Cruz <andres.moreno@linktic.com>"
"257142","307827_HU002_Generación archivo de recaudo diario para transferencia a SISE - BACK","368 - GAL\Sprint 39","Recaudo y Cartera",""
"258714","307827_HU007_Envío automático de correo sobre la generación de archivo de recaudo diario a SISE","368 - GAL","Recaudo y Cartera",""
"259110","307827_HU003_Visualizar Archivo de Recaudo Diario - Transferencia a SISE - front","368 - GAL\Sprint 32","Recaudo y Cartera","Johan Estiven Rivas Echeverry <johan.rivas@linktic.com>"
"259255","HU_49_GAL_Consulta y Detalle de Pagos por Cotizante","368 - GAL","Recaudo y Cartera",""
"259558","307827_HU010_Cargue y Validaciones archivo de recaudo diario procesado por SISE","368 - GAL","Recaudo y Cartera",""
"259991","HU_51_GAL_Exclusión de reprocesos, devoluciones, valores inválidos y cálculos erróneos en archivos del 1%","368 - GAL","Recaudo y Cartera",""
"260031","HU_1_Gal_Parametrizar por back información cliente","368 - GAL\Sprint 31","Transversales","Juan Sebastián González Rivera <sebastian.gonzalez@linktic.com>"
"260192","307827_HU011_Visualizar logs tras cargar Información de SISE en el Recaudo Diario - front","368 - GAL\Sprint 31","Recaudo y Cartera",""
"260849","307799_HU005 (CC3)_Actualización en validación archivos PILA (Consolidado y Detalle)","368 - GAL","Recaudo y Cartera",""
"261284","HU_47_GAL_Validaciones y Estructura en el nombre del archivo de cargue .ZIP","368 - GAL","Recaudo y Cartera",""
"261470","307832_HU004_Exclusión de devoluciones interadministrativas de otras ARL en cálculo del 1%","368 - GAL\Sprint 38","Recaudo y Cartera","Andres Felipe Moreno Cruz <andres.moreno@linktic.com>"
"263443","94067_HU001(CC1)_GAL_Ajuste_Afiliación_Individual","368 - GAL\Sprint 39","Afiliación y Novedades",""
"263517","313337_HU014_registro_de_historial_trabajadores_y_empleadores","368 - GAL","Afiliación y Novedades",""
"264468","307839_HU001(CC1)_Actualización de devoluciones de recaudo vigencia completas","368 - GAL\Sprint 38","Recaudo y Cartera",""
"264518","314150_HU004_Generación_archivos_liquidación_de_aportes_Empleador_Corte_1","368 - GAL","Afiliación y Novedades",""
"265021","HU_50_GAL_Actualización de campos estructuras de cargue PILA","368 - GAL","Recaudo y Cartera",""
"265022","307799_HU009_Automatización en PILA-LOG","368 - GAL\Sprint 37","Recaudo y Cartera","Juan Sebastián González Rivera <sebastian.gonzalez@linktic.com>"
"266045","HU_52_GAL_mejora en la visualización de resultados en los cargues de PILA","368 - GAL","Recaudo y Cartera",""
"266047","HU_53_GAL_mejora en la visualización de resultados en los cargues de LOG Bacario","368 - GAL","Recaudo y Cartera",""
"266056","307841_HU006_Automatizacion de correcciones de aportes.","368 - GAL\Sprint 39","Recaudo y Cartera",""
"266388","HU_6_GAL_Ajustes en Home","368 - GAL","Transversales",""
"267181","HU_55_GAL_Mejora en el cargue masivo del front en PILA","368 - GAL","Recaudo y Cartera",""
"268323","307839_HU010_Generación automática mensual y descarga manual de archivos Excel de correcciones y devoluciones aprobadas","368 - GAL","Recaudo y Cartera",""
"268636","314150_HU005_Generación_archivos_liquidación_de_aportes_Independientes_1563_Corte_1","368 - GAL","Afiliación y Novedades",""
"269430","314150_HU006_Generación_archivos_liquidación_de_aportes_Independientes_723_Corte_1","368 - GAL","Afiliación y Novedades",""
"272958","HU_45_GAL_Ajuste_afiliación_independientes_taxistas","368 - GAL","Afiliación y Novedades",""
"273348","HU_44_GAL_Ajuste_afiliación_independientes_concejal","368 - GAL","Afiliación y Novedades",""
"275225","88254_HU01_Generación del Estado de Cuenta ARL","368 - GAL","Recaudo y Cartera",""
"275571","98062_HU010_Gal_ajuste_certificado_afiliación","368 - GAL\Sprint 39","Afiliación y Novedades",""
"276639","HU_71_GAL_Mejoras en proceso de recaudo (Recepción PILA y LOG)","368 - GAL","Recaudo y Cartera",""
"276655","307037_HU007(CC2)_Ajuste_Nombre_Preregistro","368 - GAL\Sprint 39","Afiliación y Novedades",""
"276933","313337_HU002_(CC1)_Firma_escrita_ajuste_subir_firma","368 - GAL\Sprint 31","Afiliación y Novedades","Andres Felipe Moreno Cruz <andres.moreno@linktic.com>"
"276940","313337_HU002_Ajuste_paso_firma","368 - GAL","Afiliación y Novedades","Andres Felipe Moreno Cruz <andres.moreno@linktic.com>"
"277173","307841_HU007_Actualizacion de campo para corrección de aportes.","368 - GAL\Sprint 38","Recaudo y Cartera",""
"279968","HU_73_GAL_Configuración y uso de carpeta compartida (SFTP) para depósito y consumo de archivos CM","368 - GAL","Recaudo y Cartera",""
"280156","83504_HU006_gestión_proceso_comercial_radicación","368 - GAL","Afiliación y Novedades",""
"280229","HU_53_GAL_ACTUALIZAR_ESPACIO_TRABAJO_FUNCIONARIO","368 - GAL\Sprint 35","Afiliación y Novedades",""
"281842","HU_58_GAL_Reglas para cargue de archivos PILA y LOG","368 - GAL","Recaudo y Cartera",""
"283077","100219_HU056_Gal_actualización_fechas_persona_por_funcionario","368 - GAL\Sprint 39","Afiliación y Novedades",""
"284510","HU_59_GAL_CREACIÓN_NUEVO_ROL","368 - GAL","Afiliación y Novedades",""
"284523","HU_59_GAL_Actualización parámetros para conciliar PILA-LOG","368 - GAL","Recaudo y Cartera",""
"285902","314150_HU002(CC2)_Ajuste_consecutivo_póliza","368 - GAL","Afiliación y Novedades",""
"286161","307826_HU004 (CC2)_Actualización en validación LOG Bancario (Consolidado y Detalle)","368 - GAL","Recaudo y Cartera",""
"286167","307852_HU018_Desmarcacion de Cartera Morosa y consumo de archivo","368 - GAL\Sprint 34","Recaudo y Cartera",""
"286384","100219_HU066_Gal_Actualizar_datos_contrato_por_funcionario","368 - GAL","Afiliación y Novedades","Andres Felipe Moreno Cruz <andres.moreno@linktic.com>"
"286400","307852_HU019_Generación archivo georeferenciación y consumo de archivo Respuesta georeferenciación","368 - GAL\Sprint 36","Recaudo y Cartera",""
"286980","85834_HU001(CC)_Ajuste_WS_Registraduria_Nacional","368 - GAL\Sprint 39","Afiliación y Novedades","Andres Felipe Moreno Cruz <andres.moreno@linktic.com>"
"287323","83504_HU001_Creación_Rol_Comercial","368 - GAL","Afiliación y Novedades",""
"287348","307852_HU021_Consulta error de envió de constitución en mora por día/identificación","368 - GAL\Sprint 35","Recaudo y Cartera",""
"287840","307827_HU001 (CC1)_ASOCIACIÓN_RAZONES_SOCIALES_ALCALDÍA_MAYOR_PILA","368 - GAL","Recaudo y Cartera",""
"288458","100219_HU008_formulario_y_proceso_retiro_trabajador_individual_(dependiente_e_independiente)_por_funcionario","368 - GAL","Afiliación y Novedades",""
"288825","100219_HU069_Gal_notificación_individual_desplazamiento_trabajador_por_funcionario","368 - GAL","Afiliación y Novedades",""
"290010","100219_HU071_Gal_Cambio_masivo_ocupación_trabajador_independiente_voluntario_por_funcionario","368 - GAL","Afiliación y Novedades",""
"290544","84186_HU008_Gal_Cambio_ocupación_individual_trabajador_independiente_voluntario","368 - GAL","Afiliación y Novedades",""
"290591","96139_HU010_Gal_notificación_individual_desplazamiento_trabajador_por_empleador","368 - GAL\Sprint 38","Afiliación y Novedades","Juan Sebastián González Rivera <sebastian.gonzalez@linktic.com>"
"292132","307833_HU009_Consulta de reporte de notificación preventiva por periodo","368 - GAL","Recaudo y Cartera",""
"292142","307833_HU008_Consulta de reporte de notificación preventiva por aportantes liquidados","368 - GAL\Sprint 39","Recaudo y Cartera",""
"292496","314158_HU009_retiro_arl_por_independiente","368 - GAL","Afiliación y Novedades",""
"292720","100219_HU079_Gal_notificación_masiva_desplazamiento_trabajador_por_funcionario","368 - GAL\Sprint 35","Afiliación y Novedades",""
"292762","100219_HU081_Gal_proceso_de_actualización_datos_empleador_sedes_masiva_por_funcionario","368 - GAL","Afiliación y Novedades",""
"292783","HU_82_GAL_AJUSTE_PROCESO_DE_ACTUALIZACIÓN_DATOS_EMPLEADOR_SEDES_RL_DATOS BASICOS_INDIVIDUAL_POR_EMPLEADOR","368 - GAL","Afiliación y Novedades",""
"293129","100219_HU002_retiro_masivo_trabajador_por_funcionario","368 - GAL","Afiliación y Novedades",""
"293130","HU_85_GAL_PROCESO_DE_ACTUALIZACIÓN_DATOS_EMPLEADOR_MASIVA_POR_EMPLEADOR","368 - GAL","Afiliación y Novedades",""
"293131","100219_HU086_Gal_proceso_de_actualización_datos_empleador__masiva_por_funcionario","368 - GAL","Afiliación y Novedades",""
"293152","96139_HU005(CC1)_Gal_Ajuste_proceso_de_actualización_datos_trabajador_masiva_por_empleador","368 - GAL\Sprint 38","Afiliación y Novedades",""
"293154","100219_HU088_Gal_Proceso_de_actualización_datos_trabajador_masiva_por_funcionario","368 - GAL","Afiliación y Novedades",""
"293288","100219_HU089_Gal_Cambio_individual_ocupación_trabajador_independiente_voluntario_por_funcionario","368 - GAL","Afiliación y Novedades",""
"293722","HU_48_GAL_CREAR_DELEGADO_DE_EMPRESA_FORMULARIO_AFILIACIÓN","368 - GAL","Afiliación y Novedades",""
"293798","307827_HU002 (CC2)_Estado de aplicación en Transferencia de recaudo a SISE","368 - GAL","Recaudo y Cartera",""
"293824","HU_54_GAL_Mejora en el detalle de la Consulta general por aportante","368 - GAL","Recaudo y Cartera",""
"294944","314172_HU003_novedades_portal_web","368 - GAL","Afiliación y Novedades",""
"295032","314172_HU004_visualización_novedades_portal_web","368 - GAL","Afiliación y Novedades",""
"297016","307839_HU001(CC4)_Actualización de devoluciones parciales","368 - GAL","Recaudo y Cartera",""
"297170","HU_94_GAL_AJUSTE_CORREO_BIENVENIDA","368 - GAL","Afiliación y Novedades",""
"297786","HU_95_GAL_AJUSTE_GESTIÓN_DE_AFILIACIÓN_CON_DELEGADO_DE_EMPRESA_FORMULARIO_AFILIACIÓN","368 - GAL","Afiliación y Novedades",""
"298069","314156_HU002_Gal_Diferenciación_de_contratos_independientes_por_prestación_de_servicios","368 - GAL\Sprint 38","Afiliación y Novedades",""
"298344","307839_HU001(CC2)_Actualización de devoluciones completas","368 - GAL\Sprint 39","Recaudo y Cartera",""
"298416","307839_HU010_Creacion informe UGPP devoluciones","368 - GAL","Recaudo y Cartera",""
"298551","307841_HU008_Creacion informe UGPP correcciones","368 - GAL","Recaudo y Cartera",""
"298556","307841_HU010_Cargue de Correcciones No Parametrizadas.","368 - GAL","Recaudo y Cartera",""
"299063","HU_95_GAL_ASIGNACIÓN_CONTRASEÑA_TEMPORAL_GESTIÓN_USUARIOS","368 - GAL","Afiliación y Novedades",""
"299749","307827_HU016_Visualización archivos procesados, reprocesos y consolidado SISE","368 - GAL","Recaudo y Cartera",""
"301591","307837_HU007_(CC1)_Actualización y mejoras proceso de Autodescuentos","368 - GAL","Recaudo y Cartera",""
"301668","307836_HU004_ Re Identificación de No vinculados.","368 - GAL","Recaudo y Cartera",""
"302055","100219_HU096_Gal_Ajuste_afiliaciones_masivas_funcionario","368 - GAL\Sprint 35","Afiliación y Novedades",""
"302056","308714_HU001_Marcación siniestros para generar recobros por mora","368 - GAL","Recaudo y Cartera",""
"302238","HU_3_Gal_soporte en linea","368 - GAL","Transversales",""
"303384","100219_HU049_Gal_Afiliación_Individual_Funcionario","368 - GAL","Afiliación y Novedades",""
"303606","307832_HU010_ Mejoras a las validaciones realizadas en el Procesamiento del 1%","368 - GAL","Recaudo y Cartera",""
"303736","307841_HU009_Correcciones parametrizadas","368 - GAL","Recaudo y Cartera",""
"303816","307839_HU012_Actualizacion de gestión de las devoluciones","368 - GAL","Recaudo y Cartera",""
"304304","307862_HU002 (CC1)_Integración tablero de Recaudo procesado y conciliado","368 - GAL","Recaudo y Cartera",""
"306644","313436_HU001(CC4)_Ajuste_afiliación_independientes","368 - GAL","Afiliación y Novedades",""
"306731","98035_HU003_GAL_Eliminar_vista_novedades_consulta_general","368 - GAL","Afiliación y Novedades",""
"312514","313439_HU076(CC1)_Gal_Ajuste_regularización_2","368 - GAL","Afiliación y Novedades",""
"313732","307833_HU010_Dashboard de Comunicaciones Preventivas","368 - GAL","Recaudo y Cartera",""
"314227","307799_HU009_(CC1)_Alertas de validaciones Automatización en PILA-LOG","368 - GAL","Recaudo y Cartera",""
"314290","307826_HU002 (CC3)_Descarga de novedades y devoluciones de los cotizantes.","368 - GAL\Sprint 39","Recaudo y Cartera",""
"315312","307832_HU006 (CC1)_Envío automático de correos con la confirmación de archivos maestros generados en Balú.","368 - GAL","Recaudo y Cartera",""
"315463","307832_HU008 (CC1)_Actualización nombre de archivos en la Descarga de archivos maestros 1%","368 - GAL","Recaudo y Cartera","Andres Felipe Moreno Cruz <andres.moreno@linktic.com>"
"318715","307839_HU012_Actualizacion gestión de las devoluciones","368 - GAL","Recaudo y Cartera",""
"320573","313436_HU006_Plantilla_masiva_Ajuste_fecha_contrato_ prorroga_trabajador_independiente_por_empleador","368 - GAL\Sprint 40","Afiliación y Novedades",""
"321245","307827_HU010_ (CC1)_Ajuste visualización Archivos de Recaudo - Transferencia a SISE - front","368 - GAL","Recaudo y Cartera",""
"321376","287348_HU022_Reporte de Errores del Proceso de Constitución en Mora","368 - GAL","Recaudo y Cartera",""
"321505","307852_HU23_Reporte Consolidado Mensual del Proceso de Constitución en Mora","368 - GAL","Recaudo y Cartera",""
"321608","307827_HU007_(CC1)_Ajuste del envío automático sin adjuntar archivos","368 - GAL","Recaudo y Cartera",""
"322046","307826_HU002 (CC4)_Ajuste consulta de cotizantes anexos","368 - GAL\Sprint 40","Recaudo y Cartera",""
"322237","307827_HU017_Generación archivos mensuales y/o por demanda de reprocesos y facturación en cero","368 - GAL\Sprint 39","Recaudo y Cartera",""
"322413","307827_HU018_HU- Creación servicio actualización estados para nuevo archivo de recaudo SISE","368 - GAL\Sprint 39","Recaudo y Cartera",""
"322872","314150_HU007_WS_Consulta_validación_pólizas_existentes","368 - GAL\Sprint 40","Afiliación y Novedades","Johan Estiven Rivas Echeverry <johan.rivas@linktic.com>"
"322876","314150_HU008_WS_Creación_tomador_en_SISE","368 - GAL","Afiliación y Novedades",""
"322881","314150_HU009_Asignación_póliza_a_sucursal","368 - GAL","Afiliación y Novedades",""
"322885","314150_HU010_WS_Creación_póliza_SISE","368 - GAL\Sprint 40","Afiliación y Novedades",""
"322890","314150_HU011_WS_Creación_póliza_SIARP","368 - GAL","Afiliación y Novedades",""
"323508","307852_HU24_Reporte Detallado Diario del Proceso de Constitución en Mora","368 - GAL","Recaudo y Cartera",""
"325566","314150_HU005_Generación_archivos_liquidación_de_aportes_Independientes_Vinculados_Corte_1","368 - GAL","Afiliación y Novedades",""
"325588","314150_HU006_Generación_archivos_liquidación_de_aportes_Corte_2","368 - GAL","Afiliación y Novedades",""
"325622","314150_HU006_Generación_archivos_liquidación_de_aportes_Corte_3","368 - GAL","Afiliación y Novedades",""
"326617","312123_HU_001_Radicar_solicitud_reclasificación_empleador_por_funcionario","368 - GAL\Sprint 40","Afiliación y Novedades",""
"327061","83504_HU001(CC1)_Gestión_Comercial_Radicación_nueva_afiliación_V1.1","368 - GAL\Sprint 39","Afiliación y Novedades",""
"327561","97986_HU001.1_Radicar_solicitud_reclasificación_empleador_por_empleador","368 - GAL\Sprint 40","Afiliación y Novedades",""
"327603","97986_HU002.1_Integración_Gestor_documental_Asignación_de_radicado","368 - GAL\Sprint 40","Afiliación y Novedades",""
"327738","97986_HU003.1_Integración_Gestor_documental_resultado_reclasificación","368 - GAL\Sprint 40","Afiliación y Novedades",""
"327796","307799_HU001 (CC10)_Ajuste consulta de Aportante anexos","368 - GAL\Sprint 40","Recaudo y Cartera",""
"328975","96139_HU014_Plantilla_masiva_cambio_actividad_económica_a_ejecutar_trabajador_dependiente_e_independiente_con_contrato_por_empleador","368 - GAL\Sprint 40","Afiliación y Novedades",""
"328989","100219_HU004_00_Plantilla_masiva_cambio_actividad_económica_a_ejecutar_trabajador_dependiente_e_independiente_con_contrato_por_Funcionario","368 - GAL\Sprint 40","Afiliación y Novedades",""
"329311","185622_HU011_Reportes_Modulo_funcionarios","368 - GAL","Afiliación y Novedades",""
"329639","97986_HU001_Radicar_solicitud_reclasificación_empleador_por_empleador","368 - GAL\Sprint 40","Afiliación y Novedades",""
"330170","98062_HU017_Certificados_Especiales","368 - GAL","Afiliación y Novedades",""
"334781","307826_HU004 (CC3)_ Ajuste campos log bancario","368 - GAL","Recaudo y Cartera",""
"334789","98062_HU017_Certificado_de_afiliación_individual_agrupado_posterior_a_las_afiliaciones_masivas_desde_empleador","368 - GAL\Sprint 40","Afiliación y Novedades",""
